1==1,[in position #5047->12]
2==2,[in position #8938->314]
3==3,[in position #2530->249]
4==4,[in position #4558->6]
5==5,[in position #12231->21]
6==6,[in position #14304->64]
7==7,[in position #14144->63]
8==8,[in position #18858->116]
9==9,[in position #21577->2]
10==10,[in position #9589->287]
11==11,[in position #12103->1]
12==12,[in position #19518->5]
13==13,[in position #15745->20]
14==14,[in position #17498->4]
15==15,[in position #18647->1316]
16==16,[in position #23907->28]
17==17,[in position #16642->47]
18==18,[in position #14457->90]
19==19,[in position #7687->216]
20==20,[in position #10906->26]
21==21,[in position #11767->24]
22==22,[in position #14943->105]
23==23,[in position #15114->312]
24==24,[in position #5158->7]
25==25,[in position #4076->1]
26==26,[in position #5341->67]
27==27,[in position #3681->7]
28==28,[in position #22449->14]
29==29,[in position #3909->1]
30==30,[in position #5389->94]
31==31,[in position #15479->1]
32==32,[in position #15227->31]
33==33,[in position #22729->2]
34==34,[in position #9355->156]
35==35,[in position #8902->137]
36==36,[in position #9410->291]
37==37,[in position #9051->2]
38==38,[in position #19886->3]
39==39,[in position #14306->1]
40==40,[in position #11808->655]
41==41,[in position #6834->21]
42==42,[in position #17788->4]
43==43,[in position #6710->3]
44==44,[in position #7179->18]
45==45,[in position #3715->170]
46==46,[in position #8214->13]
47==47,[in position #19437->778]
48==48,[in position #17662->4]
49==49,[in position #1233->346]
50==50,[in position #11037->187]
51==51,[in position #5508->14]
52==52,[in position #13343->203]
53==53,[in position #17650->203]
54==54,[in position #18520->7]
55==55,[in position #23519->52]
56==56,[in position #22904->4]
57==57,[in position #23368->1]
58==58,[in position #14841->334]
59==59,[in position #9106->1]
60==60,[in position #3738->76]
61==61,[in position #10022->1]
62==62,[in position #16865->24]
63==63,[in position #3271->141]
64==64,[in position #18815->4]
65==65,[in position #17508->115]
66==66,[in position #16683->42]
67==67,[in position #13354->1]
68==68,[in position #11723->73]
69==69,[in position #22294->6]
70==70,[in position #2439->1]
71==71,[in position #15183->5]
72==72,[in position #5692->9]
73==73,[in position #6328->224]
74==74,[in position #17672->288]
75==75,[in position #34->6]
76==76,[in position #7489->32]
77==77,[in position #3465->1]
78==78,[in position #20225->4257]
79==79,[in position #10879->37]
80==80,[in position #8465->4294903345]
